v,Target
-0.026582225,0.253242581
-0.026105934,0.25416307
-0.025617394,0.255107586
-0.025116633,0.256076075
-0.024603681,0.257068479
-0.024078565,0.258084734
-0.023541315,0.259124775
-0.022991961,0.260188532
-0.02243053,0.261275929
-0.021857053,0.262386888
-0.021271559,0.263521324
-0.020674076,0.264679147
-0.020064633,0.265860262
-0.019443261,0.267064569
-0.019112621,0.267705404
-0.019112621,0.267705404
-0.01959799,0.266764679
-0.02012741,0.265738596
-0.020700786,0.264627384
-0.021318023,0.263431291
-0.021979022,0.262150588
-0.022683689,0.260785572
-0.023431927,0.25933657
-0.024223639,0.257803942
-0.025058728,0.256188088
-0.025937098,0.25448945
-0.026858652,0.252708518
-0.027823292,0.250845832
-0.028830923,0.24890199
-0.029881447,0.246877652
-0.030974766,0.244773544
-0.032110785,0.242590461
-0.033289404,0.240329276
-0.034510528,0.237990943
-0.035774058,0.235576498
-0.037079897,0.23308707
-0.038427948,0.23052388
-0.039818113,0.227888249
-0.040707893,0.226205607
-0.040707893,0.226205607
-0.041041401,0.225575816
-0.041360857,0.224973029
-0.04166629,0.22439714
-0.041957726,0.223848042
-0.042235193,0.223325632
-0.042498718,0.222829807
-0.04274833,0.222360466
-0.042984056,0.22191751
-0.043205923,0.221500842
-0.04341396,0.221110367
-0.043608193,0.220745993
-0.043788652,0.220407628
-0.043955363,0.220095185
-0.044108354,0.219808578
-0.044247654,0.219547723
-0.04437329,0.21931254
-0.04448529,0.21910295
-0.044583682,0.218918878
-0.044668495,0.218760252
-0.044739755,0.218627
-0.044797491,0.218519057
-0.044841732,0.218436356
-0.044872505,0.218378838
-0.044889838,0.218346441
-0.044893761,0.218339111
-0.044884299,0.218356794
-0.044861483,0.218399438
-0.044825341,0.218466996
-0.044775899,0.218559423
-0.044713188,0.218676675
-0.044637235,0.218818713
-0.044548068,0.218985499
-0.044445717,0.219176998
-0.044330208,0.219393177
-0.044201572,0.219634007
-0.044059836,0.219899458
-0.043905028,0.220189506
-0.043737178,0.220504127
-0.043556314,0.220843299
-0.043362464,0.221207004
-0.043155656,0.221595222
-0.042935921,0.222007939
-0.042703286,0.22244514
-0.042457779,0.222906812
-0.042199431,0.223392944
-0.041928268,0.223903525
-0.041644321,0.224438548
-0.041347617,0.224998004
-0.041038186,0.225581885
-0.040716056,0.226190186
-0.040381256,0.226822901
-0.040033816,0.227480024
-0.039673763,0.228161549
-0.039301127,0.228867472
-0.038915937,0.229597788
-0.038518221,0.230352489
-0.03810801,0.231131571
-0.03768533,0.231935026
-0.037250213,0.232762846
-0.036802685,0.233615022
-0.036342778,0.234491543
-0.035870519,0.235392397
-0.035385938,0.236317571
-0.034889064,0.237267047
-0.034379926,0.238240809
-0.033858552,0.239238834
-0.033324974,0.240261099
-0.032779218,0.241307578
-0.032221315,0.242378239
-0.031651295,0.24347305
-0.031069185,0.244591972
-0.030475015,0.245734964
-0.029868815,0.246901979
-0.029250614,0.248092965
-0.028620441,0.249307868
-0.027978326,0.250546625
-0.027324297,0.251809169
-0.027074754,0.25229109
-0.027074754,0.25229109
-0.027529243,0.251413456
-0.028027796,0.250451158
-0.02857032,0.249404532
-0.029156716,0.248273937
-0.02978689,0.247059762
-0.030460744,0.245762427
-0.031178183,0.24438239
-0.031939111,0.242920146
-0.03274343,0.241376232
-0.033591044,0.239751235
-0.034481857,0.238045791
-0.035415771,0.236260589
-0.036392691,0.234396378
-0.037412519,0.23245397
-0.038475158,0.230434245
-0.039580511,0.228338152
-0.040728481,0.226166714
-0.041918971,0.223921037
-0.043151884,0.221602306
-0.044427122,0.219211795
-0.045744587,0.216750865
-0.046476812,0.21538711
-0.046476812,0.21538711
-0.046734348,0.214908149
-0.046977954,0.21445543
-0.04720766,0.214028846
-0.047423492,0.213628296
-0.047625478,0.213253679
-0.047813647,0.212904897
-0.047988026,0.212581856
-0.048148642,0.212284464
